tag,fusion,direction,mask_ratio,dsc_mean,dsc_WT,dsc_TC,dsc_ET,recall_WT,recall_TC,recall_ET,fixed_mask_mse,pt_epochs,ft_epochs,backbone,pt_minutes,ft_minutes,finished
direct_visible_p0.50,direct,visible,0.5,0.79877,0.84252,0.79022,0.76355,0.7998,0.7658,0.79125,0.087207,50,30,small,19.3,63.8,2026-09-22 04:50
direct_visible_p0.75,direct,visible,0.75,0.80304,0.84019,0.80238,0.76654,0.81078,0.76886,0.79383,0.106954,50,30,small,19.2,64.9,2026-09-22 04:51
direct_visible_p0.90,direct,visible,0.9,0.80813,0.849,0.7881,0.78729,0.81736,0.76301,0.79778,0.073629,50,30,small,19.7,64.2,2026-09-22 06:15
direct_masked_p0.50,direct,masked,0.5,0.80141,0.85025,0.79071,0.76327,0.8168,0.75765,0.78908,0.052504,50,30,small,19.9,65.4,2026-09-22 06:18
direct_masked_p0.75,direct,masked,0.75,0.8058,0.85221,0.79545,0.76975,0.81569,0.77046,0.80209,0.038022,50,30,small,20.7,64.6,2026-09-22 07:43
direct_masked_p0.90,direct,masked,0.9,0.80425,0.8446,0.80225,0.76589,0.81794,0.77518,0.7979,0.046352,50,30,small,20.7,65.9,2026-09-22 07:47
modulated_visible_p0.50,modulated,visible,0.5,0.80743,0.84807,0.80432,0.76991,0.81812,0.7783,0.80422,0.073379,50,30,small,21.3,64.5,2026-09-22 09:11
modulated_visible_p0.75,modulated,visible,0.75,0.8118,0.84863,0.79141,0.79537,0.81986,0.76043,0.79517,0.115818,50,30,small,20.9,66.0,2026-09-22 09:17
modulated_visible_p0.90,modulated,visible,0.9,0.80923,0.83982,0.79606,0.79181,0.81526,0.7597,0.79409,0.072667,50,30,small,18.7,64.6,2026-09-22 10:36
modulated_masked_p0.50,modulated,masked,0.5,0.80392,0.85019,0.79189,0.76967,0.82252,0.76722,0.80388,0.049057,50,30,small,18.7,66.1,2026-09-22 10:43
modulated_masked_p0.75,modulated,masked,0.75,0.81734,0.84652,0.80703,0.79846,0.8205,0.78189,0.80513,0.039079,50,30,small,19.6,65.8,2026-09-22 12:04
modulated_masked_p0.90,modulated,masked,0.9,0.80362,0.85166,0.79402,0.76519,0.81873,0.77178,0.79487,0.050728,50,30,small,20.1,65.3,2026-09-22 12:11
